SHOP_ID,COMPANY_ID,SHOP_CD,SHOP_NAME,BUSINESS_STATUS,USE_DATE_BEGIN,ADDRESS,PROVINCE_DISTRICT,LATITUDE,LONGITUDE,OPEN_DATE,END_DATE,SUPERVISOR_AREA,DISTRICT_CODE,SALE_DISTRICT,PUBLISH_FLG,TYPE,CREATE_DATE,CREATE_USER,UPDATE_DATE,UPDATE_USER,DEL_FLG
011258,1,1258,闵行中心医院,1,2004/12/29,莘松路170号,上海市,31.11375,121.382626,2004/12/29,2010/6/28,,0601,上海售价区,0,0,2014/9/25 11:36:40,BAT003,2014/9/25 11:36:40,BAT003,0
011259,1,1259,世茂湖滨,1,2004/12/30,明月路188弄会所,上海市,31.238666,121.582409,2004/12/30,2012/11/27,,0601,上海售价区,0,0,2014/9/25 11:36:40,BAT003,2014/9/25 11:36:40,BAT003,0
011260,1,1260,达安花园,0,2004/12/31,余姚路812号,上海市静安区,31.237057,121.437852,2004/12/31,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:40,BAT003,2014/9/25 11:36:40,BAT003,0
011261,1,1261,番禺路284,1,2006/2/22,番禹路284号,上海市,,,2006/2/22,2012/11/26,,0601,上海售价区,0,0,2014/9/25 11:36:41,BAT003,2014/9/25 11:36:41,BAT003,0
011262,1,1262,新会路,0,2005/1/18,江宁路1115号,上海市普陀区,31.249299,121.450574,2005/1/18,2099/12/31,,0601,上海售价区,0,0,2015/1/14 01:00:27,BAT003,2015/1/14 01:00:27,BAT003,0
011263,1,1263,兰乔圣菲店,1,2005/3/1,金辉路333弄会所,上海市,31.210938,121.28409,2005/3/1,2010/1/4,,0601,上海售价区,0,0,2014/9/25 11:36:41,BAT003,2014/9/25 11:36:41,BAT003,0
011265,1,1265,闸北广场,1,2005/3/29,广场1楼,上海市天目西路99号闸北区,,,2005/3/29,2011/6/10,,0601,上海售价区,0,0,2014/9/25 11:36:41,BAT003,2014/9/25 11:36:41,BAT003,0
011266,1,1266,周家嘴路,0,2005/1/28,周家嘴路1069号,上海市虹口区,31.268022,121.513542,2005/1/28,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:36:42,BAT003,2014/9/25 11:36:42,BAT003,0
011267,1,1267,东方曼哈顿,0,2005/1/31,虹桥路168号4号楼2单元地下一层,上海市徐汇区,31.197871,121.44044,2005/1/31,2099/12/31,,0601,上海售价区,0,0,2014/10/15 18:53:52,BAT003,2014/10/15 18:53:52,BAT003,0
011268,1,1268,汾西路,1,2001/1/1,汾西路850号,上海市闸北区,31.319927,121.457022,2001/1/1,2006/1/25,,0601,上海售价区,0,0,2014/9/25 11:34:03,BAT003,2014/9/25 11:34:03,BAT003,0
011269,1,1269,张江大厦,1,2005/2/28,松涛路560号,上海市浦东新区,31.212011,121.591816,2005/2/28,2015/2/12,,0601,上海售价区,1,0,2015/3/31 01:00:38,BAT003,2015/3/31 01:00:38,BAT003,0
011270,1,1270,张江曙光医院,0,2005/2/24,张衡路528号,上海市浦东新区,31.193331,121.599017,2005/2/24,2099/12/31,,0601,上海售价区,0,0,2014/9/25 11:34:04,BAT003,2014/9/25 11:34:04,BAT003,0
011271,1,1271,宛平南路,1,2005/2/25,宛平南路968弄32号101,上海市,31.189043,121.458684,2005/2/25,2012/2/24,,0601,上海售价区,0,0,2014/9/25 11:34:04,BAT003,2014/9/25 11:34:04,BAT003,0
011272,1,1272,万源杰座,1,2005/2/25,东绣路999弄8号,上海市,31.207653,121.543155,2005/2/25,2011/1/1,,0601,上海售价区,0,0,2014/9/25 11:34:04,BAT003,2014/9/25 11:34:04,BAT003,0
011273,1,1273,汇商大厦,1,2005/2/22,民生路1286号,上海市,31.231024,121.555619,2005/2/22,2011/2/22,,0601,上海售价区,0,0,2014/9/25 11:34:16,BAT003,2014/9/25 11:34:16,BAT003,0
011275,1,1275,中山西路1790,1,2005/2/28,中山西路1790号9号楼,上海市,31.190101,121.430723,2005/2/28,2012/12/28,,0601,上海售价区,0,0,2014/9/25 11:34:16,BAT003,2014/9/25 11:34:16,BAT003,0
011276,1,1276,兰生大厦,2,2005/3/8,淮海中路2-8号兰生大厦,上海市卢湾区,31.232033,121.48635,2005/3/8,2013/12/31,,0601,上海售价区,0,0,2014/9/25 11:34:16,BAT003,2014/9/25 11:34:16,BAT003,0
011277,1,1277,南其昌路,1,2005/4/8,南期昌路899弄103室,上海市松江区,31.029522,121.223178,2005/4/8,2000/1/1,,0601,上海售价区,0,0,2014/9/25 11:34:17,BAT003,2014/9/25 11:34:17,BAT003,0
011278,1,1278,三门路,1,2005/3/31,国权北路80弄15号102室,上海市,31.317431,121.501843,2005/3/31,2006/4/29,,0601,上海售价区,0,0,2014/9/25 11:34:17,BAT003,2014/9/25 11:34:17,BAT003,0
